#Table: J/AJ/137/3100/table4.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------
        |   F|        | R  R         D  D     |     |     |      |    |     | e_S|     | e_S|     |     |e_<|   <S|
Target  |ield|     HJD|Ah Am   RAs  Ed Em  DEs| Vmag|  V-I|    HV|e_HV|SigFe|igFe|SigMg|igMg|  Mmb| <HV>|HV>|igMg>|  e_
--------|----|--------|-----------------------|-----|-----|------|----|-----|----|-----|----|-----|-----|---|-----|----
Scl-0074|20B |3286.629|01 01 16.81 -33 44 35.2|19.23| 1.10| 109.2| 1.0| 0.31|0.01| 0.33|0.03|1.000|     |   |     |
Scl-0075|20B |3286.629|01 01 22.76 -33 35 36.9|18.54| 1.19|  98.2| 0.9| 0.31|0.01| 0.39|0.03|0.999|     |   |     |
Scl-0076|20B |3286.629|01 01 31.61 -33 36 04.6|19.71| 0.99|  96.2| 3.5| 0.36|0.02| 0.36|0.06|0.999| 96.4|3.0| 0.34|0.05
Scl-0076|58B |3665.559|01 01 31.61 -33 36 04.6|19.71| 0.99|  97.0| 5.8| 0.47|0.06| 0.27|0.12|     |     |   |     |
Scl-0077|20B |3286.629|01 01 31.79 -33 42 07.0|18.98| 1.14| 108.1| 2.5| 0.29|0.02| 0.36|0.03|1.000|     |   |     |
Scl-0078|20B |3286.629|01 01 37.80 -33 37 03.2|19.26| 1.14| 116.5| 3.1| 0.35|0.02| 0.36|0.05|1.000|     |   |     |
Scl-0079|20B |3286.629|01 01 36.81 -33 37 46.2|18.63| 1.17| 112.4| 1.3| 0.30|0.01| 0.35|0.02|1.000|     |   |     |
Scl-0080|20B |3286.629|01 01 41.06 -33 38 43.7|19.01| 1.18| 101.9| 2.6| 0.34|0.02| 0.29|0.04|1.000|     |   |     |
Scl-0081|20B |3286.629|01 01 44.26 -33 42 12.1|18.70| 1.19| 134.6| 0.7| 0.37|0.01| 0.42|0.02|0.997|     |   |     |
Scl-0082|20B |3286.629|01 01 48.14 -33 42 30.4|19.11| 1.08| 123.8| 2.8| 0.29|0.03| 0.24|0.06|1.000|     |   |     |
Scl-0083|20B |3286.629|01 01 49.38 -33 43 02.8|18.58| 1.19| 113.3| 1.1| 0.31|0.02| 0.35|0.03|1.000|     |   |     |
Scl-0084|20B |3286.629|01 01 38.35 -33 47 32.6|19.45| 1.02| 117.4| 3.1| 0.30|0.03| 0.12|0.04|0.998|     |   |     |
Scl-0085|20B |3286.629|01 01 51.06 -33 45 30.8|19.91| 0.94| 106.9| 5.8|     |    |     |    |0.997|     |   |     |
Scl-0086|20B |3286.629|01 01 34.59 -33 44 37.7|19.10| 1.13| 134.1| 1.5| 0.34|0.02| 0.52|0.05|0.993|     |   |     |
Scl-0087|20B |3286.629|01 01 49.84 -33 44 12.2|19.99| 0.95| 112.1| 4.3|     |    |     |    |0.997|     |   |     |
Scl-0088|20B |3286.629|01 01 30.68 -33 46 32.0|18.58| 1.33| -62.0| 2.4| 0.37|0.02| 1.14|0.02|0.000|     |   |     |
Scl-0089|20B |3286.629|01 01 25.36 -33 46 09.5|19.14| 1.15| 114.3| 1.3| 0.37|0.02| 0.57|0.04|0.997|     |   |     |
Scl-0090|20B |3286.629|01 01 29.62 -33 45 22.5|19.75| 1.11| 111.1| 1.8|     |    |     |    |0.998|     |   |     |
Scl-0091|20B |3286.629|01 01 32.93 -33 43 39.8|18.79| 1.20| 103.7| 1.7| 0.35|0.01| 0.42|0.04|1.000|     |   |     |
Scl-0092|20B |3286.629|01 01 32.17 -33 43 22.7|19.21| 1.13| 107.4| 1.3| 0.44|0.02| 0.59|0.11|0.998|     |   |     |
Scl-0093|20B |3286.629|01 01 29.44 -33 43 16.8|19.85| 1.11| 109.4| 3.0|     |    |     |    |0.998|     |   |     |
Scl-0094|20R |3286.629|01 00 58.32 -33 39 34.8|18.08| 1.42|  32.7| 4.8| 0.27|0.04| 0.73|0.10|0.000| 38.3|2.5| 0.80|0.06
Scl-0094|1B  |4017.555|01 00 58.32 -33 39 34.8|18.08| 1.42|  40.5| 3.0| 0.37|0.04| 0.84|0.07|     |     |   |     |
Scl-0095|20R |3286.629|01 01 15.09 -33 42 41.8|17.78| 1.35| 108.1| 2.2| 0.35|0.02| 0.33|0.08|1.000|109.1|0.4| 0.34|0.03
Scl-0095|1B  |4017.555|01 01 15.09 -33 42 41.8|17.78| 1.35| 109.2| 0.4| 0.41|0.01| 0.34|0.03|     |     |   |     |
Scl-0096|20R |3286.629|01 00 59.26 -33 49 09.3|18.18| 1.32| 114.5| 7.3| 0.36|0.05| 0.44|0.11|1.000|113.4|0.4| 0.48|0.02
Scl-0096|5R  |3289.593|01 00 59.26 -33 49 09.3|18.18| 1.32| 110.9| 4.0| 0.36|0.03| 0.43|0.09|     |     |   |     |
Scl-0096|1B  |4017.555|01 00 59.26 -33 49 09.3|18.18| 1.32| 113.4| 0.4| 0.46|0.01| 0.48|0.03|     |     |   |     |
Scl-0097|20R |3286.629|01 01 13.68 -33 45 41.1|18.10| 1.33| 109.8| 2.5| 0.36|0.02| 0.41|0.08|0.997|110.8|0.4| 0.10|0.04
Scl-0097|1B  |4017.555|01 01 13.68 -33 45 41.1|18.10| 1.33| 110.8| 0.4| 0.47|0.01| 0.03|0.04|     |     |   |     |
Scl-0098|20R |3286.629|01 00 52.81 -33 37 29.0|17.86| 1.29| 106.2| 3.4| 0.38|0.02| 0.35|0.08|1.000|105.3|0.9| 0.35|0.05
